Date	SPX Index	RACE IM Equity	RACE US Equity	F US Equity	AAPL US Equity	NOKIA FH Equity	EURUSD Curncy
41493	1690.91	#N/A N/A	#N/A N/A	16.77	16.6064	3.07	1.3336
41494	1697.48	#N/A N/A	#N/A N/A	16.98	16.4646	3.092	1.3381
41495	1691.42	#N/A N/A	#N/A N/A	17.02	16.2304	3.124	1.3342
41498	1689.47	#N/A N/A	#N/A N/A	17.07	16.6914	3.128	1.33
41499	1694.16	#N/A N/A	#N/A N/A	17.06	17.4846	3.146	1.3263
41500	1685.39	#N/A N/A	#N/A N/A	16.89	17.8036	3.146	1.3255
41501	1661.32	#N/A N/A	#N/A N/A	16.43	17.7825	3.112	1.3347
41502	1655.83	#N/A N/A	#N/A N/A	16.3	17.9404	3.126	1.3329
41505	1646.06	#N/A N/A	#N/A N/A	16.12	18.1336	3.084	1.3335
41506	1652.35	#N/A N/A	#N/A N/A	16.31	17.8954	3.014	1.3417
41507	1642.8	#N/A N/A	#N/A N/A	16.25	17.9414	2.962	1.3355
41508	1656.96	#N/A N/A	#N/A N/A	16.41	17.9629	3.064	1.3356
41509	1663.5	#N/A N/A	#N/A N/A	16.45	17.8936	3.102	1.3383
